# The Atomic mass of isotopes,
# Data taken from mass.mas20 avaliable at https://www-nds.iaea.org/amdc/,
38Ti,38.012206
39Na,39.075123
39Mg,39.045921
39Al,39.02307
39Si,39.002491
39P,38.98628587
39S,38.97513385
39Cl,38.96800815
39Ar,38.96431304
39K,38.96370648
39Ca,38.97071081
39Sc,38.98478495
39Ti,39.002684
39V,39.02423
40Mg,40.053194
40Al,40.03094
40Si,40.00608364
40P,39.99126222
40S,39.97548256
40Cl,39.97041547
40Ar,39.96238312
40K,39.96399817
40Ca,39.96259085
40Sc,39.97796728
40Ti,39.99034515
40V,40.013387
41Mg,41.062373
41Al,41.037134
41Si,41.014171
41P,40.994654
41S,40.97959345
41Cl,40.97068453
41Ar,40.96450057
41K,40.96182526
41Ca,40.96227791
41Sc,40.96925116
41Ti,40.983148
41V,41.000333
41Cr,41.021911
42Al,42.045078
42Si,42.018078
42P,42.00117214
42S,41.9810651
42Cl,41.973342
42Ar,41.96304574
42K,41.96240231
42Ca,41.95861778
42Sc,41.96551669
42Ti,41.97304937
42V,41.99182
42Cr,42.007579
43Al,43.05182
43Si,43.026119
43P,43.005411
43S,42.98690764
43Cl,42.9740637
43Ar,42.96563606
43K,42.9607347
43Ca,42.95876638
43Sc,42.96115043
43Ti,42.96852842
43V,42.980766
43Cr,42.997885
43Mn,43.018647
44Si,44.031466
44P,44.011927
44S,43.99011885
44Cl,43.97801492
44Ar,43.96492381
44K,43.96158698
44Ca,43.95548149
44Sc,43.95940282
44Ti,43.95968994
44V,43.97444098
44Cr,43.985591
44Mn,44.008009
45Si,45.039818
45P,45.017134
45S,44.996414
45Cl,44.98039435
45Ar,44.96803973
45K,44.96069149
45Ca,44.95618627
45Sc,44.95590705
45Ti,44.95812076
45V,44.9657685
45Cr,44.97905
45Mn,44.994654
45Fe,45.015467
46P,46.02452
46S,46.000687
46Cl,45.98525493
46Ar,45.96803924
46K,45.96198158
46Ca,45.95368773
46Sc,45.95516703
46Ti,45.95262636
46V,45.96019739
46Cr,45.96836097
46Mn,45.986669
46Fe,46.001299
47P,47.030929
47S,47.00773
47Cl,46.989715
47Ar,46.97276711
47K,46.96166161
47Ca,46.95454113
47Sc,46.95240244
47Ti,46.95175749
47V,46.95490356
47Cr,46.962895
47Mn,46.975774
47Fe,46.992346
47Co,47.011401
48S,48.013301
48Cl,47.995405
48Ar,47.976001
48K,47.96534118
48Ca,47.95252265
48Sc,47.9522229
48Ti,47.94794068
48V,47.9522509
48Cr,47.95402943
48Mn,47.96854876
48Fe,47.980667
48Co,48.001857
48Ni,48.019515
49S,49.021891
49Cl,49.000794
49Ar,48.981685
49K,48.96821075
49Ca,48.95566263
49Sc,48.95001316
49Ti,48.94786439
49V,48.94851051
49Cr,48.95133372
49Mn,48.95961335
49Fe,48.973429
49Co,48.989501
49Ni,49.009157
50Cl,50.008266
50Ar,49.985797
50K,49.97238002
50Ca,49.95749922
50Sc,49.95218744
50Ti,49.94478562
50V,49.94715668
50Cr,49.94604221
50Mn,49.95423816
50Fe,49.962988
50Co,49.981117
50Ni,49.996286
51Cl,51.015341
51Ar,50.993033
51K,50.97582866
51Ca,50.96099566
51Sc,50.95356884
51Ti,50.94660947
51V,50.94395766
51Cr,50.94476539
51Mn,50.94820877
51Fe,50.95685514
51Co,50.970647
51Ni,50.987493
52Cl,52.024004
52Ar,51.998519
52K,51.981602
52Ca,51.96321365
52Sc,51.95649617
52Ti,51.94688351
52V,51.94477364
52Cr,51.94050471
52Mn,51.94555909
52Fe,51.94811336
52Co,51.96313022
52Ni,51.975781
52Cu,51.997982
53Ar,53.00729
53K,52.9868
53Ca,52.968451
53Sc,52.95837917
53Ti,52.94967071
53V,52.94433494
53Cr,52.9406463
53Mn,52.9412875
53Fe,52.94530563
53Co,52.95420328
53Ni,52.96819
53Cu,52.985894
54Ar,54.013484
54K,53.994471
54Ca,53.972989
54Sc,53.96302936
54Ti,53.950892
54V,53.94643201
54Cr,53.93887736
54Mn,53.94035577
54Fe,53.93960819
54Co,53.94845908
54Ni,53.957833
54Cu,53.977198
54Zn,53.993879
55K,55.000505
55Ca,54.979978
55Sc,54.96688964
55Ti,54.955091
55V,54.947262
55Cr,54.94083664
55Mn,54.93804304
55Fe,54.93829116
55Co,54.94199642
55Ni,54.95132985
55Cu,54.966038
55Zn,54.984681
56K,56.008567
56Ca,55.985496
56Sc,55.97260761
56Ti,55.95767768
56V,55.95042008
56Cr,55.94064898
56Mn,55.93890282
56Fe,55.93493554
56Co,55.93983803
56Ni,55.94212776
56Cu,55.95852928
56Zn,55.972743
56Ga,55.995878
57K,57.015169
57Ca,56.992958
57Sc,56.977048
57Ti,56.9630681
57V,56.952297
57Cr,56.94361211
57Mn,56.93828594
57Fe,56.93539195
57Co,56.93628982
57Ni,56.93979139
57Cu,56.94921169
57Zn,56.965056
57Ga,56.983457
58K,58.023543
58Ca,57.998357
58Sc,57.983382
58Ti,57.96680852
58V,57.95659599
58Cr,57.9441845
58Mn,57.94006664
58Fe,57.93327358
58Co,57.93575129
58Ni,57.93534165
58Cu,57.94453228
58Zn,57.9545903
58Ga,57.974729
58Ge,57.991863
59K,59.030864
59Ca,59.006237
59Sc,58.988374
59Ti,58.972217
59V,58.95962334
59Cr,58.94834543
59Mn,58.94039111
59Fe,58.93487349
59Co,58.93319352
59Ni,58.93434544
59Cu,58.93949671
59Zn,58.94931189
59Ga,58.963757
59Ge,58.982426
60Ca,60.011809
60Sc,59.995115
60Ti,59.976275
60V,59.96447922
60Cr,59.94964166
60Mn,59.94313657
60Fe,59.93407025
60Co,59.93381554
60Ni,59.93078513
60Cu,59.93736379
60Zn,59.94184132
60Ga,59.957498
60Ge,59.970445
60As,59.993945
61Ca,61.020408
61Sc,61.000537
61Ti,60.982426
61V,60.96760353
61Cr,60.95437813
61Mn,60.94445254
61Fe,60.93674624
61Co,60.93247603
61Ni,60.93105482
61Cu,60.93345738
61Zn,60.93950696
61Ga,60.94939886
61Ge,60.963725
