#Description,The abundance of nuclides 4.5 Gy ago normalised to Si = 10^6.,The relative fraction of each isotope from L09.,Best measurement of isotopic abundances from a single terrestrial source.,Uncertainty,Mass of isotopes,Solar s-process contribution normalised to Si = 10^06.,Solar s-process contribution as a fraction of the isotope abundance (relative to L09),Solar s-process contribution normalised to Si = 10^06. ,Solar s-process contribution as a fraction of the isotope abundance
#Reference,Lodders 2009 et al. Abundances of the elements in the solar system.,Lodders 2009 et al. Abundances of the elements in the solar system.,"Meija et al., 2016. Isotopic compositions of the elements 2013 (IUPAC Technical Report)","Meija et al., 2016. Isotopic compositions of the elements 2013 (IUPAC Technical Report)","Huang et al., 2017. The AME2016 atomic mass evaluation (I).",Bisterzo et al 2009. The s-process in low-metallicity stars.,Bisterzo et al 2009. The s-process in low-metallicity stars.,"Arlandini et al., 1999. Neutron Capture in Low-Mass Asymptotic Giant Branch Stars: Cross Sections and Abundance Signatures.","Arlandini et al., 1999. Neutron Capture in Low-Mass Asymptotic Giant Branch Stars: Cross Sections and Abundance Signatures."
isotopes,initial isotope abundance L09,initial isotope fraction L09,isotope fraction M16,isotope fraction uncertainty M16,isotope mass H17,sprocess isotope abundance B11,sprocess isotope fraction B11,sprocess isotope abundance A99,sprocess isotope fraction A99
153Eu,0.0514,0.5219,0.5219,0.0042,152.921237,0,0.059,0,0.051
152Gd,0.0007,0.00203,0.002029,4E-06,151.9197988,0,0.705,0,0.883
154Gd,0.0078,0.02181,0.021809,4E-06,153.9208734,0.01,0.88,0.01,0.953
155Gd,0.0533,0.148,0.147998,1.7E-05,154.9226298,0,0.057,0.03,0.59
156Gd,0.0736,0.20466,0.204664,6E-06,155.9221306,0.01,0.169,0.01,0.17
157Gd,0.0563,0.15652,0.156518,9E-06,156.9239679,0.01,0.106,0.01,0.107
158Gd,0.0894,0.24835,0.248347,1.6E-05,157.9241116,0.02,0.271,0.02,0.274
160Gd,0.0787,0.21864,0.218635,7E-06,159.9270615,0,0.006,0,0.011
159Tb,0.0634,1,1,0,158.9253539,0.01,0.084,0,0.072
156Dy,0.0002,0.00056,0.00056,2E-05,155.924284,0,0,0,0
158Dy,0.0004,0.00095,0.00095,2E-05,157.9244146,0,0,0,0
160Dy,0.0094,0.02329,0.02329,0.00012,159.9252032,0.01,0.913,0.01,0.874
161Dy,0.0762,0.18889,0.18889,0.00028,160.9269391,0,0.052,0,0.055
162Dy,0.1028,0.25475,0.25475,0.00024,161.9268042,0.02,0.16,0.02,0.162
163Dy,0.1005,0.24896,0.24896,0.00028,162.9287369,0,0.043,0,0.036
164Dy,0.1141,0.2826,0.2826,0.0036,163.9291805,0.03,0.23,0.03,0.235
165Ho,0.091,1,1,0,164.930328,0.01,0.081,0.01,0.078
162Er,0.0004,0.00139,0.001391,3E-05,161.928787,0,0,0,0
164Er,0.0042,0.01601,0.016006,2E-05,163.9292074,0,0.745,0,0.827
166Er,0.088,0.33503,0.335014,0.00024,165.930299,0.01,0.159,0.01,0.148
167Er,0.06,0.22869,0.228724,6E-05,166.9320541,0.01,0.092,0,0.085
168Er,0.071,0.26978,0.269852,0.00012,167.9323762,0.02,0.286,0.02,0.283
170Er,0.039,0.1491,0.149013,0.00024,169.9354707,0,0.123,0,0.072
169Tm,0.0406,1,1,0,168.9342184,0,0.122,0.01,0.133
168Yb,0.0003,0.0012,0.00123,1E-05,167.9338891,0,0,0,0
170Yb,0.0076,0.0298,0.02982,6E-05,169.9347672,0.01,0.906,,1.011
171Yb,0.0361,0.1409,0.14086,0.0002,170.9363315,0.01,0.209,0,0.139
172Yb,0.0556,0.2169,0.21686,0.00019,171.9363867,0.02,0.439,0.02,0.304
173Yb,0.0413,0.161,0.16103,9E-05,172.9382162,0.01,0.269,0.01,0.214
174Yb,0.0821,0.3203,0.32025,0.00012,173.9388675,0.05,0.605,0.04,0.496
176Yb,0.0333,0.13,0.12995,0.00013,175.9425747,0,0.082,0,0.136
175Lu,0.037,0.971795,0.974013,1.2E-05,174.9407773,0.01,0.178,0.01,0.177
176Lu,0.0011,0.028205,0.025987,1.2E-05,175.9426918,,1.012,,1.25
174Hf,0.0003,0.00162,0.00162,9E-05,173.9400485,0,0,0,0
176Hf,0.0081,0.05206,0.052604,5.6E-05,175.9414099,0.01,0.973,0.01,0.965
177Hf,0.029,0.18606,0.185953,1.2E-05,176.9432303,0,0.172,0.01,0.184
178Hf,0.0425,0.27297,0.272811,2.2E-05,177.9437085,0.02,0.585,0.02,0.571
179Hf,0.0212,0.13629,0.13621,9E-05,178.9458258,0.01,0.41,0.01,0.369
180Hf,0.0547,0.351,0.350802,2.6E-05,179.9465597,0.05,0.888,0.04,0.754
180Ta,2.6E-06,0.000123,0.0001201,8E-07,179.9474684,0,0.755,0,0.488
181Ta,0.021,0.999877,0.9998799,8E-07,180.9479993,0.01,0.465,0.01,0.413
180W,0.0002,0.0012,0.001198,2E-06,179.9467134,0,0.051,0,0.046
182W,0.0363,0.26499,0.264985,4.9E-05,181.9482057,0.02,0.606,0.02,0.457
183W,0.0196,0.14314,0.143136,6E-06,182.9502245,0.01,0.579,0.01,0.537
184W,0.042,0.30642,0.306422,1.3E-05,183.9509333,0.03,0.778,0.03,0.706
186W,0.039,0.28426,0.284259,6.2E-05,185.9543652,0.02,0.585,0.02,0.503
185Re,0.0207,0.35662,0.37398,0.00016,184.9529583,0.01,0.274,0,0.248
187Re,0.0374,0.64338,0.62602,0.00016,186.9557523,0,0.1,0,0.002
184Os,0.0001,0.0002,0.000197,5E-06,183.9524929,0,0,0,0
186Os,0.0108,0.01598,0.015859,4.4E-05,185.9538377,,1.116,0.01,0.972
187Os,0.0086,0.01271,0.019644,1.2E-05,186.9557496,0,0.399,0.01,0.815
188Os,0.0904,0.13337,0.132434,1.9E-05,187.9558374,0.03,0.296,0.02,0.192
189Os,0.11,0.16261,0.161466,1.6E-05,188.958146,0,0.045,0,0.043
190Os,0.179,0.26444,0.262584,1.4E-05,189.9584455,0.03,0.146,0.02,0.12
192Os,0.278,0.4107,0.407815,2.2E-05,191.9614789,0.01,0.035,0,0.01
191Ir,0.25,0.37272,0.37272,0.00015,190.9605915,0.01,0.02,0,0.019
193Ir,0.421,0.62728,0.62728,0.00015,192.9629238,0.01,0.013,0,0.011
190Pt,0.0002,0.00014,0.00012,1E-05,189.9599499,0,0,0,0
192Pt,0.01,0.00783,0.00782,8E-05,191.9610427,0.01,0.871,0.01,0.981
194Pt,0.42,0.32967,0.32864,0.0014,193.9626835,0.03,0.066,0.02,0.04
195Pt,0.431,0.33832,0.33775,0.00079,194.9647944,0.01,0.026,0.01,0.017
196Pt,0.322,0.25242,0.25211,0.0011,195.9649547,0.04,0.132,0.03,0.098
198Pt,0.091,0.07163,0.07357,0.00043,197.9678967,0,0,0,0
197Au,0.195,1,1,0,196.9665701,0.01,0.059,0.01,0.058
196Hg,0.001,0.0015,0.00155,4E-05,195.965833,0,0,0,0
198Hg,0.046,0.0997,0.10038,0.0001,197.9667692,0.04,0.826,,1.024
199Hg,0.077,0.1687,0.16938,9E-05,198.968281,0.02,0.217,0.02,0.265
200Hg,0.106,0.231,0.23138,6E-05,199.9683269,0.06,0.524,0.05,0.656
201Hg,0.06,0.1318,0.1317,0.0012,200.970303,0.02,0.397,0.02,0.496
202Hg,0.137,0.2986,0.29743,9E-05,201.9706436,0.09,0.653,0.08,0.811
204Hg,0.031,0.0687,0.06818,6E-05,203.973494,0,0.08,0,0.089
203Tl,0.054,0.29524,0.29524,9E-05,202.972344,0.04,0.831,0.04,0.748
205Tl,0.129,0.70476,0.70476,9E-05,204.9744272,0.08,0.628,0.1,0.763
204Pb,0.066,0.01997,0.014245,1.2E-05,203.9730434,0.06,0.967,0.06,0.943
206Pb,0.614,0.18582,0.241447,5.7E-05,205.9744651,0.41,0.666,0.34,0.578
207Pb,0.68,0.20563,0.220827,2.7E-05,206.9758967,0.39,0.578,0.41,0.637
208Pb,1.946,0.58858,0.523481,8.6E-05,207.9766519,0.81,0.416,0.63,0.345
209Bi,0.1382,1,1,0,208.9803985,0.01,0.063,0.01,0.049
230Th,,,1.138E-05,2E-08,230.0331324,,,,
232Th,0.044,1,0.99998862,2E-08,232.0380537,,,,
231Pa,,,1,0,231.0358826,,,,
234U,4.9E-07,2E-05,5.42E-05,4E-07,234.0409504,,,,
235U,0.0058,0.24286,0.0072041,3.6E-06,235.0439282,,,,
238U,0.018,0.75712,0.9927417,3.6E-06,238.050787,,,,
